2025-08-05 11:34:39 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 11:44:50 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 11:44:51 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 11:44:51 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 11:44:51 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 11:44:51 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 11:44:51 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 11:44:51 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 11:44:54 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 11:44:54 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 11:44:54 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 11:44:54 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 11:44:54 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 11:44:54 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 11:46:25 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 11:46:25 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 11:46:25 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 11:46:25 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 11:46:25 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 11:46:25 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 11:46:25 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 11:46:25 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 11:46:25 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 11:46:25 - price_service - WARNING - No price record found for 6 in USD, using default values
