2025-07-23 12:46:48 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-23 13:22:00 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 20:13:45 - tatum_subscription - ERROR - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:28:34 - tatum_subscription - ERROR - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:30:33 - tatum_subscription - ERROR - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-23 23:34:35 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
