2025-08-08 17:24:52 - firebase - WARNING - [FCM] Device token dRj3dsknS3iAX5fQf2AcY9:APA91bGFdKRDb6ZG5wozh4v7X9lyda94x66vfWVReinZMkzyrruAPL8sDNHnRu_1zDzLTzVsYjaAZyEgTPkQFRRgwW3PF_keBkErIZu1eK5r4wxON6O9u9g is no longer valid
2025-08-08 17:24:52 - firebase - WARNING - [FCM] Device token f5-bvQ4FTIKpmt-VvvzogR:APA91bGHYKvBlEiB0sbTf6vY6brl4EVWJqGBBykZymkBe00Zp8QUkPwlPlsZbsGEfMsVTVDCVohvcG_PqgG1qINXb0-wIRUT7o1VLUNSmYgKLPWQ8eBtioA is no longer valid
2025-08-08 17:27:22 - firebase - WARNING - [FCM] Device token fpz3xag_Rle2cokBkczQAX:APA91bErRflI-XMX9UB109bBsS9L7DS0FFZc0dPsIoUw-fUOuHusxq6erlgeYKncYVjNGIPyZidbBxeuhfnr7HRNqjgfJdpYlE5bUn-Ot0JQTVewQudAjnk is no longer valid
2025-08-08 17:27:23 - firebase - WARNING - [FCM] Device token ftpj6NNdQ1aTeveLizo0K_:APA91bHeCbvq4GYI7yG_pd-DnGRW_sX-OPdsSoh0H8kqYZMcx1x0tGrIRFuOQkVZg9YdhNIpwU3bPt8hCr2ttg2t93aF4GsqY4L-UuIyghuAxWUko2NvUUg is no longer valid
2025-08-08 17:27:23 - firebase - WARNING - [FCM] Device token cJWBBHiCRPWqpdgQWfDEFo:APA91bGdiWfPdCyQkgenCRwCaE6K00f-QwOKkmolp36KC-XxKPpMktQ1gq5GsXfOpv5R0TR9L5TquQVfL_jTRO8N78xuC8UeH3Mm_c9vMw8HV7oV3hISVZQ is no longer valid
2025-08-08 17:27:23 - firebase - WARNING - [FCM] Device token dRj3dsknS3iAX5fQf2AcY9:APA91bGFdKRDb6ZG5wozh4v7X9lyda94x66vfWVReinZMkzyrruAPL8sDNHnRu_1zDzLTzVsYjaAZyEgTPkQFRRgwW3PF_keBkErIZu1eK5r4wxON6O9u9g is no longer valid
2025-08-08 17:27:23 - firebase - WARNING - [FCM] Device token f5-bvQ4FTIKpmt-VvvzogR:APA91bGHYKvBlEiB0sbTf6vY6brl4EVWJqGBBykZymkBe00Zp8QUkPwlPlsZbsGEfMsVTVDCVohvcG_PqgG1qINXb0-wIRUT7o1VLUNSmYgKLPWQ8eBtioA is no longer valid
2025-08-08 17:27:37 - firebase - WARNING - [FCM] Device token fpz3xag_Rle2cokBkczQAX:APA91bErRflI-XMX9UB109bBsS9L7DS0FFZc0dPsIoUw-fUOuHusxq6erlgeYKncYVjNGIPyZidbBxeuhfnr7HRNqjgfJdpYlE5bUn-Ot0JQTVewQudAjnk is no longer valid
2025-08-08 17:27:37 - firebase - WARNING - [FCM] Device token ftpj6NNdQ1aTeveLizo0K_:APA91bHeCbvq4GYI7yG_pd-DnGRW_sX-OPdsSoh0H8kqYZMcx1x0tGrIRFuOQkVZg9YdhNIpwU3bPt8hCr2ttg2t93aF4GsqY4L-UuIyghuAxWUko2NvUUg is no longer valid
2025-08-08 17:27:37 - firebase - WARNING - [FCM] Device token cJWBBHiCRPWqpdgQWfDEFo:APA91bGdiWfPdCyQkgenCRwCaE6K00f-QwOKkmolp36KC-XxKPpMktQ1gq5GsXfOpv5R0TR9L5TquQVfL_jTRO8N78xuC8UeH3Mm_c9vMw8HV7oV3hISVZQ is no longer valid
2025-08-08 17:27:37 - firebase - WARNING - [FCM] Device token dRj3dsknS3iAX5fQf2AcY9:APA91bGFdKRDb6ZG5wozh4v7X9lyda94x66vfWVReinZMkzyrruAPL8sDNHnRu_1zDzLTzVsYjaAZyEgTPkQFRRgwW3PF_keBkErIZu1eK5r4wxON6O9u9g is no longer valid
2025-08-08 17:27:37 - firebase - WARNING - [FCM] Device token f5-bvQ4FTIKpmt-VvvzogR:APA91bGHYKvBlEiB0sbTf6vY6brl4EVWJqGBBykZymkBe00Zp8QUkPwlPlsZbsGEfMsVTVDCVohvcG_PqgG1qINXb0-wIRUT7o1VLUNSmYgKLPWQ8eBtioA is no longer valid
2025-08-08 20:34:17 - firebase - WARNING - [FCM] Device token fpz3xag_Rle2cokBkczQAX:APA91bErRflI-XMX9UB109bBsS9L7DS0FFZc0dPsIoUw-fUOuHusxq6erlgeYKncYVjNGIPyZidbBxeuhfnr7HRNqjgfJdpYlE5bUn-Ot0JQTVewQudAjnk is no longer valid
2025-08-08 20:34:17 - firebase - WARNING - [FCM] Device token ftpj6NNdQ1aTeveLizo0K_:APA91bHeCbvq4GYI7yG_pd-DnGRW_sX-OPdsSoh0H8kqYZMcx1x0tGrIRFuOQkVZg9YdhNIpwU3bPt8hCr2ttg2t93aF4GsqY4L-UuIyghuAxWUko2NvUUg is no longer valid
2025-08-08 20:34:17 - firebase - WARNING - [FCM] Device token cJWBBHiCRPWqpdgQWfDEFo:APA91bGdiWfPdCyQkgenCRwCaE6K00f-QwOKkmolp36KC-XxKPpMktQ1gq5GsXfOpv5R0TR9L5TquQVfL_jTRO8N78xuC8UeH3Mm_c9vMw8HV7oV3hISVZQ is no longer valid
2025-08-08 20:34:17 - firebase - WARNING - [FCM] Device token dRj3dsknS3iAX5fQf2AcY9:APA91bGFdKRDb6ZG5wozh4v7X9lyda94x66vfWVReinZMkzyrruAPL8sDNHnRu_1zDzLTzVsYjaAZyEgTPkQFRRgwW3PF_keBkErIZu1eK5r4wxON6O9u9g is no longer valid
2025-08-08 20:34:18 - firebase - WARNING - [FCM] Device token f5-bvQ4FTIKpmt-VvvzogR:APA91bGHYKvBlEiB0sbTf6vY6brl4EVWJqGBBykZymkBe00Zp8QUkPwlPlsZbsGEfMsVTVDCVohvcG_PqgG1qINXb0-wIRUT7o1VLUNSmYgKLPWQ8eBtioA is no longer valid
2025-08-08 20:38:47 - firebase - WARNING - [FCM] Device token fpz3xag_Rle2cokBkczQAX:APA91bErRflI-XMX9UB109bBsS9L7DS0FFZc0dPsIoUw-fUOuHusxq6erlgeYKncYVjNGIPyZidbBxeuhfnr7HRNqjgfJdpYlE5bUn-Ot0JQTVewQudAjnk is no longer valid
2025-08-08 20:38:48 - firebase - WARNING - [FCM] Device token ftpj6NNdQ1aTeveLizo0K_:APA91bHeCbvq4GYI7yG_pd-DnGRW_sX-OPdsSoh0H8kqYZMcx1x0tGrIRFuOQkVZg9YdhNIpwU3bPt8hCr2ttg2t93aF4GsqY4L-UuIyghuAxWUko2NvUUg is no longer valid
2025-08-08 20:38:48 - firebase - WARNING - [FCM] Device token cJWBBHiCRPWqpdgQWfDEFo:APA91bGdiWfPdCyQkgenCRwCaE6K00f-QwOKkmolp36KC-XxKPpMktQ1gq5GsXfOpv5R0TR9L5TquQVfL_jTRO8N78xuC8UeH3Mm_c9vMw8HV7oV3hISVZQ is no longer valid
2025-08-08 20:38:48 - firebase - WARNING - [FCM] Device token dRj3dsknS3iAX5fQf2AcY9:APA91bGFdKRDb6ZG5wozh4v7X9lyda94x66vfWVReinZMkzyrruAPL8sDNHnRu_1zDzLTzVsYjaAZyEgTPkQFRRgwW3PF_keBkErIZu1eK5r4wxON6O9u9g is no longer valid
